cell_id,lon_idx,lat_idx,center_lon,center_lat,distribution,n_regimes,wind_speed_1,probability_1,std_1,wind_speed_2,probability_2,std_2
1987,37,39,-90.40959,26.853056,unimodal,1,9.752263674982643,1.0,0.1301328959068546,,,
1988,38,39,-90.22514,26.853056,unimodal,1,9.617989571457462,1.0,0.0879378349296651,,,
1989,39,39,-90.04068,26.853056,unimodal,1,9.410477611756768,1.0,0.1618353330522199,,,
1990,40,39,-89.85623,26.853056,unimodal,1,9.12556929472985,1.0,0.2547145166863045,,,
1991,41,39,-89.67177,26.853056,unimodal,1,7.98369644744605,1.0,0.315103405474281,,,
1992,42,39,-89.487305,26.853056,unimodal,1,7.303956121775684,1.0,0.2544281564562055,,,
1993,43,39,-89.30286,26.853056,unimodal,1,6.696747368318563,1.0,0.3012147803082096,,,
1994,44,39,-89.11839,26.853056,unimodal,1,6.829314423978531,1.0,0.2094751924471038,,,
1995,45,39,-88.933945,26.853056,unimodal,1,6.616682650073231,1.0,0.1267448266844885,,,
1996,46,39,-88.74948,26.853056,unimodal,1,6.481536212779478,1.0,0.090451764838717,,,
1997,47,39,-88.565025,26.853056,unimodal,1,6.3277866341905415,1.0,0.15332017909745,,,
1998,48,39,-88.38057,26.853056,unimodal,1,6.101096710506791,1.0,0.0887637955898251,,,
1999,49,39,-88.196106,26.853056,unimodal,1,5.897631281486983,1.0,0.1038896380510872,,,
2000,0,40,-97.23451,27.020798,unimodal,1,8.923451452417222,1.0,0.2407367338116698,,,
2001,1,40,-97.050064,27.020798,bimodal,2,8.926594457852309,0.5277777777777778,0.1638902147889343,10.075094641045924,0.4722222222222222,0.3895192953404657
2002,2,40,-96.8656,27.020798,unimodal,1,10.775061765321098,1.0,0.2416421465648131,,,
2003,3,40,-96.68114,27.020798,unimodal,1,11.390218463310074,1.0,0.2463592492221125,,,
2004,4,40,-96.49669,27.020798,unimodal,1,11.980038888637775,1.0,0.2139576792279163,,,
2005,5,40,-96.312225,27.020798,unimodal,1,12.970131864884683,1.0,0.404177330947768,,,
2006,6,40,-96.12778,27.020798,unimodal,1,14.771665456283866,1.0,0.5917429668776101,,,
2007,7,40,-95.94331,27.020798,unimodal,1,16.091328779591656,1.0,0.2038236784575248,,,
2008,8,40,-95.75886,27.020798,unimodal,1,16.15664661369055,1.0,0.2679230570543903,,,
2009,9,40,-95.5744,27.020798,unimodal,1,16.498760932178428,1.0,0.7115243530607221,,,
2010,10,40,-95.38994,27.020798,unimodal,1,18.95606960747236,1.0,1.1811799772479052,,,
2011,11,40,-95.20549,27.020798,unimodal,1,16.394289912951837,1.0,0.7771431030995556,,,
2012,12,40,-95.02103,27.020798,unimodal,1,17.281400716217277,1.0,0.6004495003913705,,,
2013,13,40,-94.83657,27.020798,unimodal,1,18.24095688789927,1.0,0.8040583829277221,,,
2014,14,40,-94.652115,27.020798,unimodal,1,18.68556220198584,1.0,0.698008392173639,,,
2015,15,40,-94.46765,27.020798,unimodal,1,19.344358935484607,1.0,0.8660400771517627,,,
2016,16,40,-94.2832,27.020798,unimodal,1,19.67522726420164,1.0,1.5608132952477298,,,
2017,17,40,-94.09874,27.020798,unimodal,1,21.57648302308523,1.0,1.5436249654439227,,,
2018,18,40,-93.91429,27.020798,unimodal,1,17.523466672427954,1.0,1.1972538186637744,,,
2019,19,40,-93.72983,27.020798,unimodal,1,18.271473745251303,1.0,2.0529833089270246,,,
