cell_id,n_points,distribution,bic_1component,bic_2component,delta_bic,lon_idx,lat_idx,center_lon,center_lat,mean_speed,std_speed
23.0,36,unimodal,-1.9965673073823975,-2.1905289640035512,0.19396165662115372,23,0,-92.992004,20.311096,2.4257797231681835,0.2130537436375351
24.0,30,bimodal,16.36896940985704,6.139316940668985,10.229652469188055,24,0,-92.80754,20.311096,2.755188903086832,0.2837971313040831
25.0,36,unimodal,-26.132552312520296,-17.56058654663136,-8.571965765888937,25,0,-92.623085,20.311096,2.8390162810012054,0.1523716248283849
26.0,36,unimodal,-16.712297398317205,-6.174383525436429,-10.537913872880775,26,0,-92.43863,20.311096,2.777069480192804,0.1736704106198339
27.0,36,unimodal,-69.02606368222071,-58.78955779904285,-10.236505883177855,27,0,-92.254166,20.311096,2.5814748202261137,0.0839800456718293
28.0,36,unimodal,-41.528723858965456,-41.24742273778307,-0.2813011211823877,28,0,-92.06972,20.311096,2.299084175348912,0.1230371965433781
29.0,36,unimodal,-43.52254627981184,-40.13053699720345,-3.3920092826083916,29,0,-91.885254,20.311096,2.3058097277883687,0.1196767959885963
30.0,36,unimodal,-36.4290955524977,-30.988324550902103,-5.440771001595596,30,0,-91.7008,20.311096,2.2362634553577583,0.1320677293022106
31.0,36,unimodal,23.230763042797776,30.159949237617287,-6.929186194819511,31,0,-91.51634,20.311096,2.607460982500185,0.3024524393190814
32.0,36,unimodal,-27.298977778875617,-21.608101364646057,-5.69087641422956,32,0,-91.33188,20.311096,3.1357774718734603,0.1499230381455809
33.0,36,unimodal,7.122628805039918,-1.0269442242897782,8.149573029329696,33,0,-91.14743,20.311096,3.1215171382125395,0.2418215247508484
34.0,36,bimodal,66.99428452382816,28.892762973263686,38.10152155056447,34,0,-90.96297,20.311096,2.29905262202677,0.5554345203542529
35.0,36,unimodal,8.237723200837962,14.171410937571908,-5.933687736733946,35,0,-90.77851,20.311096,1.9002811753735904,0.2455958687811159
36.0,36,unimodal,-11.573596602584038,-6.731144058935438,-4.8424525436486,36,0,-90.594055,20.311096,2.336552131293997,0.1865184488385697
37.0,30,unimodal,-22.38617441897095,-32.22738661989007,9.84121220091912,37,0,-90.40959,20.311096,1.7735274084877146,0.1487609406380235
